time,location,new_id
14:45,fruit,4.6
14:45,spices,4.2
14:46,checkout,2.2
14:46,dairy,6.2
14:46,drinks,3.0
14:46,fruit,3.6
14:46,spices,2.4
14:47,checkout,2.0
14:47,dairy,5.6
14:47,drinks,2.8
14:47,fruit,4.0
14:47,spices,1.4
14:48,checkout,3.4
14:48,dairy,4.6
14:48,drinks,2.6
14:48,fruit,3.6
14:48,spices,0.6
14:49,checkout,2.4
14:49,dairy,5.0
14:49,drinks,1.8
14:49,fruit,2.4
14:49,spices,0.2
14:50,checkout,1.6
14:50,dairy,4.2
14:50,drinks,1.4
14:50,fruit,2.0
14:50,spices,1.4
14:51,checkout,1.2
14:51,dairy,4.4
14:51,drinks,1.4
14:51,fruit,3.0
14:51,spices,1.6
14:52,checkout,0.6
14:52,dairy,4.6
14:52,drinks,2.6
14:52,fruit,3.8
14:52,spices,1.0
14:53,checkout,3.0
14:53,dairy,4.4
14:53,drinks,1.4
14:53,fruit,3.2
14:53,spices,0.8
14:54,checkout,1.8
14:54,dairy,3.8
14:54,drinks,1.4
14:54,fruit,1.8
14:54,spices,1.4
14:55,checkout,1.4
14:55,dairy,3.2
14:55,drinks,1.2
14:55,fruit,2.6
14:55,spices,1.8
14:56,checkout,1.8
14:56,dairy,3.2
14:56,drinks,2.2
14:56,fruit,1.4
14:56,spices,1.2
14:57,checkout,1.8
14:57,dairy,2.6
14:57,drinks,2.0
14:57,fruit,1.6
14:57,spices,1.0
14:58,checkout,1.4
14:58,dairy,3.2
14:58,drinks,1.8
14:58,fruit,1.2
14:58,spices,1.2
14:59,checkout,0.8
14:59,dairy,3.4
14:59,drinks,2.4
14:59,fruit,2.6
14:59,spices,0.8
15:00,checkout,2.0
15:00,dairy,3.8
15:00,drinks,2.0
15:00,fruit,2.6
15:00,spices,1.2
15:01,checkout,1.2
15:01,dairy,3.6
15:01,drinks,1.6
15:01,fruit,2.4
15:01,spices,1.6
15:02,checkout,1.6
15:02,dairy,3.6
15:02,drinks,1.2
15:02,fruit,2.8
15:02,spices,1.4
15:03,checkout,0.6
15:03,dairy,3.4
15:03,drinks,1.6
15:03,fruit,3.4
15:03,spices,1.6
15:04,checkout,1.4
15:04,dairy,4.0
15:04,drinks,1.6
15:04,fruit,3.0
15:04,spices,0.8
15:05,checkout,1.4
15:05,dairy,3.6
